position,prev_uuid,uuid,fork_uuid
1,dae9d8b4-3122-56e0-a665-5dfc10101a6b,d9445f96-2fb9-5582-bce5-821b4c17d7c8,372e2c3b-f1b5-57f0-938e-8d36a49ccb2c
2,dae9d8b4-3122-56e0-a665-5dfc10101a6b,773d7274-b8c3-5a3b-86e2-d5e2d5fa8916,0ce52233-9ffc-5087-81c8-b525bea3fa17
3,dae9d8b4-3122-56e0-a665-5dfc10101a6b,d9445f96-2fb9-5582-bce5-821b4c17d7c8,a68013ea-0576-5137-8e35-b83c43d8ca22
4,dae9d8b4-3122-56e0-a665-5dfc10101a6b,773d7274-b8c3-5a3b-86e2-d5e2d5fa8916,43da8c64-9133-5636-83db-3e77501028fb
5,dae9d8b4-3122-56e0-a665-5dfc10101a6b,d9445f96-2fb9-5582-bce5-821b4c17d7c8,2dc8d31d-ff56-56f7-8cb0-bb0438eef36f
6,dae9d8b4-3122-56e0-a665-5dfc10101a6b,773d7274-b8c3-5a3b-86e2-d5e2d5fa8916,0f759586-6c07-525d-84e0-c34431b9dda5
7,dae9d8b4-3122-56e0-a665-5dfc10101a6b,d9445f96-2fb9-5582-bce5-821b4c17d7c8,24161e88-2a1e-561a-9bce-3c7389f3d5c8
8,dae9d8b4-3122-56e0-a665-5dfc10101a6b,773d7274-b8c3-5a3b-86e2-d5e2d5fa8916,7c06de2a-4641-51e1-8917-391441949303
9,dae9d8b4-3122-56e0-a665-5dfc10101a6b,d9445f96-2fb9-5582-bce5-821b4c17d7c8,6c5c4f78-092e-5bc0-8f16-603dc187cac6
10,dae9d8b4-3122-56e0-a665-5dfc10101a6b,773d7274-b8c3-5a3b-86e2-d5e2d5fa8916,ced220db-f675-50a1-aef6-4b6f3eeb93f8
